name1;name2;weight;Source;Target
#NeverHillary;#SCOTUS;500.0685939;223;277
#NeverHillary;#ElectionDay;500.0685859;223;86
#NeverHillary;#DefendtheSecond;500.0685859;223;68
#2A;#SCOTUS;500.0120741;3;277
#SCOTUS;#ElectionDay;500.0013035;277;86
#SCOTUS;#DefendtheSecond;500.0013035;277;68
#2A;#ElectionDay;500.0005707;3;86
#2A;#DefendtheSecond;500.0005707;3;68
#ElectionDay;#SCOTUS;500;86;277
#DefendtheSecond;#SCOTUS;500;68;277
#DebateNight;#debatenight;363.1304802;64;64
#debatenight;#DebateNight;342.0877305;64;64
#AmericaFirst;#ImWithYou;339.8770719;15;133
#VoteTrump;#MakeAmericaGreatAgain;320.3524099;348;173
#DemsInPhilly;#DemConvention;316.8157464;75;69
#debatenight;#Debates2016;276.7849705;64;65
#NoBillNoBreak;#NotOneMore;227.7206412;229;232
#DemConvention;#DemsInPhilly;222.5765067;69;75
#DebateNight;#Debates2016;198.1634978;64;65
#Debates2016;#MAGA;176.6663553;65;172
#FITN;#IowaCaucus;167.5513059;95;144
#IowaCaucus;#FITN;166.7689057;144;95
#NotOneMore;#NoBillNoBreak;166.6666667;232;229
#Debates2016;#DebateNight;161.78839;65;64
#Debates2016;#debatenight;150.2217662;65;64
#GOPDebate;#Donald;133.6919551;112;80
#Donald;#GOPDebate;133.3333333;80;112
#debatenight;#Benghazi;131.4130771;64;23
#Trump2016;#Obamacare;125.7332916;314;236
#Obamacare;#Trump2016;125.0033267;236;314
#debatenight;#MAGA;103.6795259;64;172
#Debates2016;#debate;102.4500172;65;63
#debatenight;#debate;100.9180351;64;63
#DebateNight;#debate;99.81277683;64;63
#Trump2016;#MakeAmericaGreatAgain;93.49954894;314;173
#debatenight;#ISIS;92.85136308;64;145
#DebateNight;#MAGA;90.31848154;64;172
#MAGA;#debatenight;89.93997257;172;64
#debate;#Debates2016;78.56759725;63;65
#MakeAmericaGreatAgain;#VoteTrump;78.16970805;173;348
#MSNBCTownhall;#Trump2016;77.36328953;201;314
#MSNBCTownhall;#MakeAmericaGreatAgain;77.36328953;201;173
#VoteTrump;#Trump2016;76.99566608;348;314
#debate;#debatenight;72.99272058;63;64
#Trump2016;#MSNBCTownhall;71.96189723;314;201
#MakeAmericaGreatAgain;#MSNBCTownhall;71.85309096;173;201
#MakeAmericaGreatAgain;#Trump2016;69.75337642;173;314
#Trump2016;#VoteTrump;65.23258257;314;348
#debatenight;#Debate;61.84285536;64;63
#NoBillNoBreak;#NoMoreSilence;57.38506494;229;231
#DebateNight;#Debate;55.02897544;64;63
#MakeAmericaGreatAgain;#TrumpTrain;54.26831688;173;328
#NoBillNoBreak;#holdthefloor;52.69218262;229;129
#debate;#DebateNight;48.64774821;63;64
#Trump2016;#WISCONSIN;48.5385783;314;428
#GOPDebate;#GPLFers;46.04127824;112;116
#MAGA;#DebateNight;43.6694586;172;64
#MakeAmericaGreatAgain;#PrimaryDay;43.4014789;173;248
#ImWithYou;#AmericaFirst;43.08425465;133;15
#DemsInPhilly;#MakeAmericaGreatAgain;42.91539741;75;173
#MakeAmericaGreatAgain;#WISCONSIN;42.18043565;173;428
#MakeAmericaGreatAgain;#CaucusForTrump;41.81490969;173;40
#WISCONSIN;#Trump2016;41.66666667;428;314
#WISCONSIN;#MakeAmericaGreatAgain;41.66666667;428;173
#PrimaryDay;#MakeAmericaGreatAgain;40.8256632;248;173
#DebateNight;#Benghazi;40.07579872;64;23
#ISIS;#debatenight;40;145;64
#Trump2016;#ImWithHer;39.37708047;314;133
#Trump2016;#CaucusForTrump;36.91136176;314;40
#CaucusForTrump;#Trump2016;36.02394597;40;314
#CaucusForTrump;#MakeAmericaGreatAgain;36.02158784;40;173
#CaucusForTrump;#KansasCaucus;35.71898286;40;152
#KansasCaucus;#CaucusForTrump;35.71428571;152;40
#TrumpTrain;#MakeAmericaGreatAgain;35.43100606;328;173
#SheWon;#MAGA;34.89371564;279;172
#Trump2016;#TrumpTrain;34.51934823;314;328
#MAGA;#SheWon;33.9238101;172;279
#ImWithHer;#Trump2016;33.77082524;133;314
#MakeAmericaGreatAgain;#DemsInPhilly;32.98473681;173;75
#Debate;#debatenight;32.25806452;63;64
#DebateNight;#TPP;31.9114193;64;312
#debatenight;#TPP;30.81902748;64;312
#VoteTrump;#TrumpTrain;30.52658175;348;328
#VoteTrumpNV;#TrumpLV;30.08694136;355;322
#NevadaCaucus;#TrumpLV;30.02828321;219;322
#TrumpLV;#NevadaCaucus;29.85074627;322;219
#TrumpLV;#VoteTrumpNV;29.85074627;322;355
#GPLFers;#GOPDebate;29.85074627;116;112
#TrumpTrain;#VoteTrump;29.7966844;328;348
#AmericaFirst;#DebateNight;29.56241835;15;64
#Trump2016;#PrimaryDay;29.52757503;314;248
#PrimaryDay;#Trump2016;29.42252961;248;314
#ImWithYou;#LeadRight2016;29.4051993;133;156
#DemsInPhilly;#LGBT;28.99684408;75;158
#DebateNight;#ISIS;27.77249608;64;145
#RNCinCLE;#TrumpYourself;27.11482039;257;331
#MakeAmericaGreatAgain;#ImWithHer;26.68803196;173;133
#LeadRight2016;#ImWithYou;26.66666667;156;133
#DebateNight;#AmericaFirst;26.45448946;64;15
#AmericaFirst;#Debates2016;26.42089329;15;65
#debatenight;#ImWithHer;26.14817292;64;133
#ImWithHer;#MakeAmericaGreatAgain;25.86955201;133;173
#RNCinCLE;#AmericaFirst;25.86125234;257;15
#MAGA;#MakeAmericaGreatAgain;25.68767148;172;173
#TedCruz;#Cruz;25.10938207;306;55
#TrumpYourself;#RNCinCLE;25.08320804;331;257
#ImWithYou;#MakeAmericaGreatAgain;24.99994513;133;173
#Trump2016;#MayDay;24.85821238;314;173
#DemsInPhilly;#ImWithHer;24.712066;75;133
#MakeAmericaGreatAgain;#trump;24.64344766;173;313
#MakeAmericaGreatAgain;#enough;24.58528268;173;91
#PrimaryDay;#VoteTrumpNY;24.52121317;248;356
#DemsInPhilly;#Pulse;24.46292158;75;250
#PrimaryDay;#ICYMI;24.44615913;248;133
#Trump;#voteTrump;24.39259584;313;348
#MayDay;#Trump2016;24.3902439;173;314
#voteTrump;#Trump;24.3902439;348;313
#Trump2016;#TeacherAppreciationDay;24.36570971;314;296
#enough;#MakeAmericaGreatAgain;24.09638554;91;173
#MakeAmericaGreatAgain;#TeacherAppreciationDay;24.05221074;173;296
#ImWithYou;#MAGA;23.9901132;133;172
#trump2016;#trump;23.97418078;314;313
#trump;#trump2016;23.97337865;313;314
#trump;#MakeAmericaGreatAgain;23.97337865;313;173
#SheWon;#TrumpWon;23.92082959;279;330
#AmericaFirst;#MAGA;23.82450763;15;172
#MakeAmericaGreatAgain;#MAGA;23.81491375;173;172
#TeacherAppreciationDay;#Trump2016;23.80952381;296;314
#TeacherAppreciationDay;#MakeAmericaGreatAgain;23.80952381;296;173
#Trump;#UPUPUP;23.53740349;313;337
#INPrimary;#MakeAmericaGreatAgain;23.53680488;135;173
#UPUPUP;#Trump;23.52941176;337;313
#CommonLaw;#Cruz;23.25581395;51;55
#NaturalBorn;#Cruz;23.25581395;206;55
#MaryBrigidMcManamon;#CommonLaw;23.25581395;173;51
#MaryBrigidMcManamon;#NaturalBorn;23.25581395;173;206
#MaryBrigidMcManamon;#Cruz;23.25581395;173;55
#MaryBrigidMcManamon;#TedCruz;23.25581395;173;306
#Cruz;#CommonLaw;23.25581395;55;51
#Cruz;#NaturalBorn;23.25581395;55;206
#Cruz;#TedCruz;23.25581395;55;306
#Trump2016;#SouthCarolinaPrimary;23.25297787;314;283
#Trump2016;#Trump;23.19611109;314;313
#MakeAmericaGreatAgain;#makeamericagreatagain;23.16661064;173;173
#MakeAmericaGreatAgain;#WeAreBernie;23.16661064;173;364
#MakeAmericaGreatAgain;#WeWantTrump;23.16661064;173;364
#VoteTrumpNY;#PrimaryDay;22.99702131;356;248
#ICYMI;#PrimaryDay;22.99697611;133;248
#MakeAmericaGreatAgain;#INPrimary;22.97054544;173;135
#trump2016;#makeamericagreatagain;22.7283837;314;173
#trump2016;#WeAreBernie;22.7283837;314;364
#trump2016;#WeWantTrump;22.7283837;314;364
#trump;#With_Cruz_you_lose;22.72758163;313;428
#makeamericagreatagain;#trump2016;22.72727273;173;314
#makeamericagreatagain;#With_Cruz_you_lose;22.72727273;173;428
#makeamericagreatagain;#MakeAmericaGreatAgain;22.72727273;173;173
#With_Cruz_you_lose;#trump;22.72727273;428;313
#With_Cruz_you_lose;#makeamericagreatagain;22.72727273;428;173
#With_Cruz_you_lose;#WeAreBernie;22.72727273;428;364
#With_Cruz_you_lose;#WeWantTrump;22.72727273;428;364
#WeAreBernie;#trump2016;22.72727273;364;314
#WeAreBernie;#With_Cruz_you_lose;22.72727273;364;428
#WeAreBernie;#MakeAmericaGreatAgain;22.72727273;364;173
#WeWantTrump;#trump2016;22.72727273;364;314
#WeWantTrump;#With_Cruz_you_lose;22.72727273;364;428
#WeWantTrump;#MakeAmericaGreatAgain;22.72727273;364;173
#SouthCarolinaPrimary;#Trump2016;22.47191011;283;314
#Trump2016;#dtmag;22.38523906;314;81
#MAGA;#dtmag;22.24717748;172;81
#dtmag;#MAGA;22.22222222;81;172
#dtmag;#Trump2016;22.22222222;81;314
#Trump2016;#FITN;21.72837509;314;95
#TrumpWon;#SheWon;21.56889788;330;279
#debate;#MAGA;21.54056523;63;172
#NoBillNoBreak;#goodtrouble;20.96802873;229;108
#Trump;#Trump2016;20.96589548;313;314
#MAGA;#Debates2016;20.40679168;172;65
#Trump2016;#vaticanwalls;19.99231377;314;346
#DemsInPhilly;#enough;19.76031749;75;91
#Trump2016;#NHPolitics;19.62864819;314;228
#TedCruz;#laurencetribe;19.60025573;306;156
#VoteTrumpSC;#vaticanwalls;19.40794456;357;346
#MAGA;#TeamTrump;19.32908766;172;303
#TrumpPence16;#TeamTrump;19.31335453;325;303
#TeamTrump;#MAGA;19.23320679;303;172
#TeamTrump;#TrumpPence16;19.23117599;303;325
#RNCinCLE;#RNCINCLE;19.20783098;257;257
#Trump2016;#NewYorkValues;18.35315968;314;228
#ObamaCare;#MAKEAMERICAGREATAGAIN;17.86711951;236;173
#MakeAmericaGreatAgain;#StopGunViolence;17.83405743;173;290
#laurencetribe;#TedCruz;17.69911504;156;306
#laurencetribe;#LaurenceTribe;17.69911504;156;156
